Px1	Py1	Pz1	Px2	Py2	Pz2	Px3	Py3	Pz3	Px4	Py4	Pz4
-0.722929	1.33973	0.653401	0.275041	-1.36567	-0.608285	0.274051	-0.0817286	0.731862	0.155157	0.0501207	-0.776414
-0.558157	0.535515	1.31308	0.622645	-0.431596	-1.24596	-0.180428	-0.100901	0.739382	0.177326	-0.064486	-0.821565
-0.742492	0.732604	1.57481	0.537055	-0.409837	-1.41365	-0.052984	-0.390984	0.664451	0.291669	-0.0699327	-0.821565
0.601171	0.554588	1.17577	-0.888001	-0.213339	-1.38688	-0.372373	-0.334832	0.686867	0.625874	-0.0215942	-0.501447
0.731474	-0.650923	1.02467	-0.689843	0.481404	-0.962459	0.0601069	0.0962856	0.709337	-0.120902	0.0283268	-0.744048
-0.897223	-0.338619	1.4655	0.787366	0.0228988	-1.29971	0.0727836	0.473084	0.61978	9.33561e-005	-0.347938	-0.815126
-0.834235	1.50988	0.724482	0.274225	-1.50211	-0.710816	0.345208	-0.0116302	0.664451	0.22627	-0.192489	-0.679022
0.686878	0.9317	1.01031	-0.901646	-0.896076	-0.860657	0.360368	-0.0752499	0.716839	-0.0796392	-0.129346	-0.860117
-1.10074	-0.542117	0.817111	1.15976	0.947125	-0.690334	-0.179346	-0.258597	0.679389	0.149124	-0.102878	-0.795787
-0.757953	-1.69645	1.2552	1.1047	1.31336	-1.09099	0.0331669	0.290766	0.62721	-0.314351	-0.00457237	-0.821565
0.804636	-0.188139	1.31308	-0.538469	-0.233746	-1.27956	-0.287412	0.102946	0.739382	0.0230213	0.197464	-0.795787
-0.291166	0.55891	1.44369	0.205968	0.0815065	-1.54725	-0.0665058	-0.144946	0.701841	0.221194	-0.531251	-0.646361
0.401657	-0.400139	1.24074	-0.83477	0.420884	-1.0234	0.495225	-0.358982	0.479701	-0.0808325	0.320291	-0.711584
-0.201337	0.451801	1.42188	0.372561	-0.233247	-1.35337	-0.35934	-0.0243482	0.694351	0.213555	-0.185991	-0.731074
-0.0665324	1.02311	1.24797	-0.165868	-0.887509	-1.19214	0.308564	0.226091	0.553168	-0.0642021	-0.427895	-0.600467
0.467756	-0.29345	1.18299	-0.228196	0.181315	-1.19214	-0.039622	-0.282866	0.642089	-0.209505	0.283776	-0.639817
-1.21883	-0.104095	1.67715	0.391491	-0.0164648	-1.50722	0.49015	0.0632472	0.50902	0.244467	-0.0656278	-0.646361
-0.740614	0.0890006	1.48733	0.991201	0.0621561	-1.41365	-0.23079	-0.22525	0.604936	0.0116705	0.0119136	-0.698572
1.02848	0.365397	1.32757	-1.14921	-0.0359736	-1.6072	0.392251	0.133989	0.679389	-0.298658	-0.56833	-0.381375
1.12441	0.591303	0.845663	-0.896348	-0.513345	-1.06397	0.274051	0.0583106	0.731862	-0.505591	-0.2904	-0.541166
1.15652	0.107248	0.49048	-1.36255	0.429302	-0.340293	0.47159	-0.179917	0.531068	-0.348551	-0.320192	-0.659438
-0.49435	0.260518	1.53833	0.513921	-0.173002	-1.58057	0.458029	0.197015	0.664451	-0.464463	-0.397434	-0.66597
0.974773	0.340955	1.01031	-1.15155	0.0231555	-0.914988	-0.0468379	-0.209827	0.769524	0.14874	-0.244227	-0.821565
-0.224268	-0.873993	1.5019	-0.207744	0.756493	-1.13823	0.442475	0.300265	0.32004	0.0116705	-0.186598	-0.698572
0.0676854	0.36686	1.4655	-1.04981	-0.330339	-1.50054	0.485665	-0.0306667	0.686867	0.459146	-0.0932211	-0.659438
-0.603852	0.15266	1.37106	0.456252	-0.0165737	-1.27956	0.0661274	-0.420396	0.612355	0.14489	0.227116	-0.692059
-1.10715	0.678665	1.01749	0.291088	-0.788236	-1.2056	0.30925	0.345654	0.57532	0.538583	-0.398093	-0.367948
1.21939	0.446817	1.03903	-1.08085	-0.39299	-1.16519	0.0609309	-0.204987	0.845311	-0.19029	0.0833264	-0.731074
0.656944	1.15014	0.603734	-0.910435	-1.32857	-0.526045	0.596831	0.0627849	0.435892	-0.382617	0.118697	-0.527943
0.444663	-0.906657	1.11813	-0.561049	1.15207	-1.16519	0.107094	0.147537	0.739382	-0.0114966	-0.396655	-0.685543
